pl_name,hostname,discoverymethod,disc_year,disc_facility,sy_snum,sy_pnum,pl_bmasse,pl_rade,pl_orbper,pl_orbsmax,pl_orbeccen,pl_eqt,st_mass,st_rad,st_teff,st_lum,sy_dist,ra,dec
Kepler-1857 b,Kepler-1857,Transit,2021,Kepler,1,1,4.5,1.96065412,8.94340992,0.08308,0,946,0.873,1.005,6074,0.2052,853.275,296.4557129,39.598537
K2-184 b,K2-184,Transit,2018,K2,1,1,2.76,1.47,16.9780102,0.1685,,533,0.84,0.75,5245,-0.39912,75.5857,129.1405227,14.4618826
K2-358 b,K2-358,Transit,2021,K2,1,1,7.65,2.68,11.2510285,0.0863,,888,0.93,0.91,5650,-0.16134,480.307,133.8081054,18.9497263
Kepler-1963 b,Kepler-1963,Transit,2021,Kepler,1,1,0.337,0.74437023,1.962260008,0.02915,0,1448,0.915,0.979,5726,-0.2592,492.847,296.5875182,47.207129
Kepler-1911 b,Kepler-1911,Transit,2021,Kepler,1,1,1.01,1.011,5.990799904,0.0636,0,987,0.954,0.972,5721,-0.07794,269.912,299.303559,41.4410233
Kepler-1893 b,Kepler-1893,Transit,2021,Kepler,1,1,3.55,1.70557445,4.179369926,0.0504,0,1194,0.973,1.162,5633,0.15984,1050.72,298.4012866,44.8381709
Kepler-1964 b,Kepler-1964,Transit,2021,Kepler,1,1,3.83,1.7810587,2.440829992,0.0322,0,986,0.752,0.698,4803,-0.631,,297.0588033,49.4784362
KOI-4777.01,KOI-4777,Transit,2022,Kepler,1,1,99.2,0.51,0.412,0.008,0,1180,0.41,0.4,3515,-1.64043,172.245,287.2621474,42.0322257
HD 360 b,HD 360,Radial Velocity,2021,Okayama Astrophysical Observatory,1,1,238.3713053,14,273.1,0.98,0.139,,1.69,10.86,4770,1.74162,111.542,2.072903,-8.8242618
Kepler-1897 b,Kepler-1897,Transit,2021,Kepler,1,1,8.32,2.81407954,24.22030067,0.1546,0,505,0.859,0.761,5165,-0.38987,983.174,294.2901043,39.126871
Kepler-1898 b,Kepler-1898,Transit,2021,Kepler,1,1,0.76,0.93353523,4.765620232,0.05063,0,1167,0.837,1.125,5702,-0.23539,360.921,287.2058009,38.4981903
Kepler-1967 b,Kepler-1967,Transit,2021,Kepler,1,1,0.315,0.73022577,7.281690121,0.06686,0,1086,0.996,1.806,4970,-0.56664,249.102,299.1376276,43.4984724
HD 79181 b,HD 79181,Radial Velocity,2021,Okayama Astrophysical Observatory,1,1,203.4101805,14.1,273.1,0.9,0.259,,1.28,11.06,4862,1.78965,103.335,137.9944736,-19.7474341
HD 10975 b,HD 10975,Radial Velocity,2021,Okayama Astrophysical Observatory,1,1,143.0227832,14.3,283.8,0.95,0.442,,1.41,11.16,4840,1.78986,116.506,27.1628025,37.9527542
HD 99283 b,HD 99283,Radial Velocity,2021,Okayama Astrophysical Observatory,1,1,308.2935548,13.8,310.4,1.08,0.2,,1.76,11.21,4886,1.80963,111.093,171.4874082,55.8506653
Kepler-1913 b,Kepler-1913,Transit,2021,Kepler,1,1,2.92,1.51852059,14.1960001,0.1209,0,818,1.169,1.076,6214,-0.05481,876.3,290.216689,44.7795863
ups Leo b,ups Leo,Radial Velocity,2021,Okayama Astrophysical Observatory,1,1,162.0924876,14.2,385.2,1.18,0.32,,1.48,11.22,4836,1.80003,52.5973,174.2372188,-0.8235643
